formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
6	C5H8O4	[M - H]-	C5H7O4-	Fatty acids	0.819	Fatty Acids and Conjugates	0.835	Monosaccharides	0.593	Organic oxygen compounds	0.999	Organooxygen compounds	0.999	Carbonyl compounds	0.924	1,3-dicarbonyl compounds	0.561	1,3-dicarbonyl compounds	0.561	Organic compounds; 1,3-dicarbonyl compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	131.035	17	0.276	832265317623632629	832264722850328710	832264722833551493	1	
1	C8H11N	[M + H]+	C8H12N+	Alkaloids	0.980	Nicotinic acid alkaloids	0.996	Pyridine alkaloids	0.996	Organoheterocyclic compounds	0.972	Pyridines and derivatives	0.918	Methylpyridines	0.893			Methylpyridines	0.893	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	122.097	18	0.304	832265314448543432	832264801371903232	832264801371903231	1862	
1	C10H15N	[M + H]+	C10H16N+	Alkaloids	0.541	Pseudoalkaloids (transamidation)	0.076	Phenylalanine-derived alkaloids	0.142	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.986	Tertiary amines	0.942	Dialkylarylamines	0.915	Organic compounds; Organonitrogen compounds; Aniline and substituted anilines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Tertiary alkylarylamines; Dialkylarylamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	150.128	19	0.314	832265316868657614	832264801027970254	832264801027970253	1852	
1	C2HNO3S	[M + Na]+	C2HNNaO3S+	Alkaloids	0.688	Nicotinic acid alkaloids	0.165	Pyridine alkaloids	0.167	Organosulfur compounds	0.246	Sulfonyls	0.183	Sulfonyl isocyanates	0.644			Sulfonyl isocyanates	0.644	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Sulfonyl isocyanates; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	141.959	19	0.319	832265320672891833	832264801552258329	832264801552258328	1867	
1	C6H11NO3	[M + H]+	C6H12NO3+	Amino acids and Peptides	0.985	Small peptides	0.994	Aminoacids	0.997	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.999	Amino acids, peptides, and analogues	0.991	Amino acids and derivatives	0.991	Alpha amino acids	0.883	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Dialkylamines; Alpha amino acids; Amines; Secondary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	146.081	19	0.322	832265321281065960	832264801434817802	832264801434817801	1864	
1	C5H12N3O7	[M - H]-	C5H11N3O7-	Carbohydrates	0.916	Aminosugars and aminoglycosides	0.377	Monosaccharides	0.231	Organic oxygen compounds	1.000	Organooxygen compounds	0.992	Carbohydrates and carbohydrate conjugates	0.964	Monosaccharides	0.953	Monosaccharides	0.953	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Polyols; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	225.061	19	0.324	832265329355103849	832264723261370522	832264723257176217	5	
1	C7H10N3	[M + CH2O2 - H]-	C8H11N3O2-	Alkaloids	0.991	Histidine alkaloids	0.829	Imidazole alkaloids	0.828	Organoheterocyclic compounds	0.999	Azoles	0.781					Azoles	0.781	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azoles; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	181.086	20	0.329	832265327790627918	832264723898904775	832264723894710470	14	
1	C7H9N	[M + H]+	C7H10N+	Alkaloids	0.997	Nicotinic acid alkaloids	1.000	Pyridine alkaloids	1.000	Organoheterocyclic compounds	1.000	Pyridines and derivatives	0.998	Methylpyridines	0.984			Methylpyridines	0.984	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; Organic nitrogen compounds; Chemical entities	108.081	20	0.330	832265317711713052	832264801304794358	832264801304794357	1860	
1	C4H3F2NO2	[M + Na]+	C4H3F2NNaO2+	Fatty acids	0.756	Fatty Acids and Conjugates	0.498	Halogenated fatty acids	0.949	Organic acids and derivatives	0.734	Carboxylic acids and derivatives	0.735					Carboxylic acids and derivatives	0.735	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Organofluorides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.003	22	0.360	832265325727029537	832264801476760847	832264801476760846	1865	
1	C5H12N3O7	[M - H]-	C5H11N3O7-	Carbohydrates	0.891	Aminosugars and aminoglycosides	0.345	Monosaccharides	0.211	Organic oxygen compounds	1.000	Organooxygen compounds	0.991	Carbohydrates and carbohydrate conjugates	0.965	Monosaccharides	0.957	Monosaccharides	0.957	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	225.061	22	0.364	832265316327592178	832264724444164335	832264724444164334	22	
1	C8H11N	[M + H]+	C8H12N+	Alkaloids	0.976	Nicotinic acid alkaloids	0.996	Pyridine alkaloids	0.996	Organoheterocyclic compounds	0.923	Pyridines and derivatives	0.862	Methylpyridines	0.897			Methylpyridines	0.897	Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Methylpyridines; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	122.097	23	0.377	832265322992342662	832264801699058989	832264801699058988	1871	
1	C3H5O3P	[M + K]+	C3H5KO3P+	Fatty acids	0.452	Fatty Acids and Conjugates	0.083	Halogenated fatty acids	0.021	Organic oxygen compounds	0.995	Organooxygen compounds	0.692					Organooxygen compounds	0.692	Organic compounds; Organooxygen compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	158.961	23	0.385	832265325940939105	832264801749390642	832264801741002033	1872	
1	C7H5NS	[M + H]+	C7H6NS+	Alkaloids	0.568	Nicotinic acid alkaloids	0.274	Pyridine alkaloids	0.277	Organoheterocyclic compounds	0.989	Benzothiazoles	0.948					Benzothiazoles	0.948	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organonitrogen compounds; Benzothiazoles; Azoles; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	136.022	23	0.386	832265326234540522	832264800994415817	832264800994415816	1851	
1	C4H10N3O4	[M + H2O - H]-	C4H11N3O5-	Carbohydrates	0.512	Aminosugars and aminoglycosides	0.070	Polyamines	0.154	Organic oxygen compounds	1.000	Organooxygen compounds	0.983	Alcohols and polyols	0.952	Secondary alcohols	0.825	Secondary alcohols	0.825	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Secondary alcohols; Polyols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	181.071	25	0.413	832265317044818421	832264724028928209	832264724024733904	16	
1	C5H8N3O4	[M + CH2O2 - H]-	C6H9N3O6-	Amino acids and Peptides	0.982	Small peptides	0.996	Aminoacids	0.995	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.998	Amino acids, peptides, and analogues	0.993	Amino acids and derivatives	0.993	Alpha amino acids	0.823	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Monoalkylamines; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Aspartic acid and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	219.050	25	0.419	832265324137387989	832264724297363685	832264724293169380	20	
1	C6H6O3	[M + H]+	C6H7O3+	Polyketides	0.807	Cyclic polyketides	0.921	4-pyrone derivatives	0.861	Organoheterocyclic compounds	0.987	Furans	0.593					Furans	0.593	Organic compounds; Organoheterocyclic compounds; Furans; Alcohols and polyols; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	127.039	27	0.447	832265321809548437	832264801409651973	832264801409651972	1863	
2	C6H8O4	[M - H2O + H]+	C6H7O3+	Fatty acids	0.470	Cyclic polyketides	0.493	2-pyrone derivatives	0.389	Organic acids and derivatives	0.624	Carboxylic acids and derivatives	0.575					Carboxylic acids and derivatives	0.575	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	127.039	27	0.447	832265321809548438	832264801409651973	832264801409651972	1863	
3	C5H4O	[M + CH2O2 + H]+	C6H7O3+	Shikimates and Phenylpropanoids	0.626	Phenylpropanoids (C6-C3)	0.265	Cinnamic acids and derivatives	0.134	Benzenoids	0.697							Benzenoids	0.697	Organic compounds; Aldehydes; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	127.039	27	0.447	832265321809548439	832264801409651973	832264801409651972	1863	
1	C10H15NO2S	[M + H]+	C10H16NO2S+	Alkaloids	0.623	Nicotinic acid alkaloids	0.051	Phenylalanine-derived alkaloids	0.421	Benzenoids	1.000	Benzene and substituted derivatives	0.999	Benzenesulfonamides	0.996			Benzenesulfonamides	0.996	Organic compounds; Organosulfur compounds; Benzenesulfonamides; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Organosulfonamides; Benzene and substituted derivatives; Benzenoids; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	214.090	27	0.453	832265325278238889	832264801342543099	832264801342543098	1861	
2	C8H13N4OS	[M + H]+	C8H14N4OS+	Alkaloids	0.618	Histidine alkaloids	0.178	Imidazole alkaloids	0.181	Organosulfur compounds	0.943	Thioethers	0.677	Aryl thioethers	0.682	Alkylarylthioethers	0.760	Alkylarylthioethers	0.760	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Triazines; Organonitrogen compounds; Organooxygen compounds; Azoles; Thioethers; Sulfenyl compounds; Alkylarylthioethers; Organic oxides; 1,2,4-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Aryl thioethers; Organic nitrogen compounds; Chemical entities	214.090	27	0.453	832265325278238890	832264801342543099	832264801342543098	1861	
3	C9H15NO3Si	[M + H]+	C9H16NO3Si+	Fatty acids	0.870	Small peptides	0.656	Aminoacids	0.418	Organic acids and derivatives	0.994	Carboxylic acids and derivatives	0.981	Amino acids, peptides, and analogues	0.801	Amino acids and derivatives	0.799	Amino acids and derivatives	0.799	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	214.090	27	0.453	832265325278238891	832264801342543099	832264801342543098	1861	
4	C6H18N2O2PS	[M + H]+	C6H19N2O2PS+	Alkaloids	0.345	Pseudoalkaloids (transamidation)	0.068	Polyamines	0.023	Organic acids and derivatives	0.983	Organic sulfuric acids and derivatives	0.904	Sulfuric acid diamides	0.765			Sulfuric acid diamides	0.765	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organic sulfuric acids and derivatives; Sulfuric acid diamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	214.090	27	0.453	832265325278238892	832264801342543099	832264801342543098	1861	
1	C5H8N3O4	[M + H2O - H]-	C5H9N3O5-	Amino acids and Peptides	0.682	Small peptides	0.807	Aminoacids	0.767	Organic oxygen compounds	1.000	Organooxygen compounds	0.996	Alcohols and polyols	0.729	Secondary alcohols	0.590	Secondary alcohols	0.590	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Organic nitro compounds; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Organic zwitterions; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	191.055	29	0.484	832265328902118853	832264724381249770	832264724377055465	21	
1	C7H5NS	[M + H]+	C7H6NS+	Alkaloids	0.579	Nicotinic acid alkaloids	0.357	Pyridine alkaloids	0.360	Organoheterocyclic compounds	0.982	Benzothiazoles	0.888					Benzothiazoles	0.888	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organonitrogen compounds; Benzothiazoles; Azoles; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	136.022	30	0.497	832265327757073460	832264801661310248	832264801661310247	1870	
1	C6H4O3	[M + H]+	C6H5O3+	Polyketides	0.947	Cyclic polyketides	0.969	2-pyrone derivatives	0.403	Organoheterocyclic compounds	0.988	Dihydrofurans	0.727	Furanones	0.696	Butenolides	0.705	Butenolides	0.705	Organic compounds; Organoheterocyclic compounds; Lactones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid anhydrides; Carbonyl compounds; Furanones; Dihydrofurans; Butenolides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	125.023	33	0.553	832265335583647156	832264801896191292	832264801891996987	1874	
2	C6H6O4	[M - H2O + H]+	C6H5O3+	Fatty acids	0.781	Fatty Acids and Conjugates	0.721	4-pyrone derivatives	0.229	Organic acids and derivatives	0.948	Carboxylic acids and derivatives	0.932	Carboxylic acids	0.879			Carboxylic acids	0.879	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	125.023	33	0.553	832265335583647157	832264801896191292	832264801891996987	1874	
3	C6H8O5	[M - H4O2 + H]+	C6H5O3+	Fatty acids	0.983	Fatty Acids and Conjugates	0.982	Dicarboxylic acids	0.934	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.996	Dicarboxylic acids and derivatives	0.560			Dicarboxylic acids and derivatives	0.560	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	125.023	33	0.553	832265335583647158	832264801896191292	832264801891996987	1874	
1	C6H6O4	[M + H]+	C6H7O4+	Polyketides	0.495	Cyclic polyketides	0.699	4-pyrone derivatives	0.732	Organoheterocyclic compounds	0.897	Furans	0.604					Furans	0.604	Organic compounds; Organoheterocyclic compounds; Furans; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	143.034	33	0.553	832265333171921404	832264801820693815	832264801820693814	1873	
2	C6H8O5	[M - H2O + H]+	C6H7O4+	Fatty acids	0.970	Fatty Acids and Conjugates	0.977	Dicarboxylic acids	0.949	Organic acids and derivatives	0.990	Carboxylic acids and derivatives	0.988	Dicarboxylic acids and derivatives	0.559			Dicarboxylic acids and derivatives	0.559	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	143.034	33	0.553	832265333171921405	832264801820693815	832264801820693814	1873	
3	C6H10O6	[M - H4O2 + H]+	C6H7O4+	Carbohydrates	0.958	Saccharides	0.964	Monosaccharides	0.972	Organic acids and derivatives	0.699	Hydroxy acids and derivatives	0.721	Alpha hydroxy acids and derivatives	0.530			Alpha hydroxy acids and derivatives	0.530	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Sugar acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Alpha hydroxy acids and derivatives; Monosaccharides; Secondary alcohols; Carbonyl compounds; Acyloins; Polyols; Alpha-hydroxy ketones; Beta-hydroxy ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	143.034	33	0.553	832265333171921406	832264801820693815	832264801820693814	1873	
4	C5H4O2	[M + CH2O2 + H]+	C6H7O4+	Fatty acids	0.886	Fatty Acids and Conjugates	0.775	Unsaturated fatty acids	0.819	Organic acids and derivatives	0.725	Carboxylic acids and derivatives	0.763	Carboxylic acids	0.687			Carboxylic acids	0.687	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	143.034	33	0.553	832265333171921407	832264801820693815	832264801820693814	1873	
