formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
2	C6H3F5N2O4S3	[M + CH2O2 - H]-	C7H4F5N2O6S3-	Amino acids and Peptides	0.175	Small peptides	0.025	Aminoacids	0.020	Organic acids and derivatives	0.968	Organic sulfonic acids and derivatives	0.937	Organosulfonic acids and derivatives	0.935	Organosulfonamides	0.643	Organosulfonamides	0.643	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Sulfonyls; Organofluorides; Organosulfonamides; Alkyl halides; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	402.915	86	1.435	852608683561733615	852601184208678462	852601184208678461	6	
1	C3H3N2O11PS	[M - H]-	C3H2N2O11PS-	Alkaloids	0.429	Histidine alkaloids	0.052	Imidazole alkaloids	0.051	Organic acids and derivatives	0.999	Organic sulfuric acids and derivatives	0.756					Organic sulfuric acids and derivatives	0.756	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	304.911	86	1.437	852608686862651651	852601184561000023	852601184561000022	11	
2	C2HN2O9PS	[M + CH2O2 - H]-	C3H2N2O11PS-	Alkaloids	0.628	Tyrosine alkaloids	0.051	Imidazole alkaloids	0.037	Organic acids and derivatives	0.954	Organic sulfuric acids and derivatives	0.507					Organic sulfuric acids and derivatives	0.507	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic sulfuric acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	304.911	86	1.437	852608686862651652	852601184561000023	852601184561000022	11	
3	C3H5N2O9P3	[M - H]-	C3H4N2O9P3-	Amino acids and Peptides	0.145	Small peptides	0.134	Aminoacids	0.176	Organic acids and derivatives	0.966	Organic phosphoric acids and derivatives	0.967	Phosphate esters	0.910	Alkyl phosphates	0.641	Alkyl phosphates	0.641	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	304.911	86	1.437	852608686862651653	852601184561000023	852601184561000022	11	
5	C4H4Cl3F3N2O4	[M - H]-	C4H3Cl3F3N2O4-	Alkaloids	0.194	Small peptides	0.027	Aminoacids	0.031	Organic acids and derivatives	0.947	Carboxylic acids and derivatives	0.848	Monocarboxylic acids and derivatives	0.506			Monocarboxylic acids and derivatives	0.506	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl chlorides; Alkyl fluorides; Monocarboxylic acids and derivatives; Organochlorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	304.911	86	1.437	852608686862651655	852601184561000023	852601184561000022	11	
6	C3H2Cl3F3N2O2	[M + CH2O2 - H]-	C4H3Cl3F3N2O4-	Alkaloids	0.549	Pseudoalkaloids (transamidation)	0.039	Halogenated fatty acids	0.146	Organohalogen compounds	0.997	Alkyl halides	0.959	Alkyl chlorides	0.597			Alkyl chlorides	0.597	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl chlorides; Alkyl fluorides; Organochlorides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	304.911	86	1.437	852608686862651656	852601184561000023	852601184561000022	11	
7	C4H7N2O6PS3	[M - H]-	C4H6N2O6PS3-	Amino acids and Peptides	0.884	Small peptides	0.602	Aminoacids	0.400	Organophosphorus compounds	0.371	Organothiophosphorus compounds	0.686					Organothiophosphorus compounds	0.686	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organothiophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	304.911	86	1.437	852608686862651657	852601184561000023	852601184561000022	11	
1	C2H3N2O2	[M + Na]+	C2H3N2NaO2+	Alkaloids	0.836	Nicotinic acid alkaloids	0.381	Purine alkaloids	0.525	Organoheterocyclic compounds	0.895	Heteroaromatic compounds	0.816					Heteroaromatic compounds	0.816	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Organooxygen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	110.009	86	1.439	852608688833974988	852601230635435013	852601230635435012	1121	
1	C7H5F5N2O7S2	[M - H]-	C7H4F5N2O7S2-	Amino acids and Peptides	0.142	Small peptides	0.063	Aminoacids	0.036	Organic acids and derivatives	0.997	Organic sulfonic acids and derivatives	0.950	Organosulfonic acids and derivatives	0.947			Organosulfonic acids and derivatives	0.947	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Sulfonyls; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	386.938	87	1.452	852608697407135001	852601184133180985	852601184128986680	5	
2	C6H3F5N2O5S2	[M + CH2O2 - H]-	C7H4F5N2O7S2-	Alkaloids	0.195	Small peptides	0.026	Halogenated fatty acids	0.043	Organic acids and derivatives	0.983	Organic sulfonic acids and derivatives	0.932	Organosulfonic acids and derivatives	0.929			Organosulfonic acids and derivatives	0.929	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Sulfonyls; Organofluorides; Carbonyl compounds; Alkyl halides; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	386.938	87	1.452	852608697407135002	852601184133180985	852601184128986680	5	
1	C4H6F2NO4P	[M + Na]+	C4H6F2NNaO4P+	Amino acids and Peptides	0.957	Small peptides	0.934	Aminoacids	0.930	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.918	Amino acids, peptides, and analogues	0.593	Amino acids and derivatives	0.591	Amino acids and derivatives	0.591	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Organophosphorus compounds; Organic phosphonic acids and derivatives; Alkyl fluorides; Monocarboxylic acids and derivatives; Carboxylic acids; Organic phosphonic acids; Organofluorides; Carbonyl compounds; Primary amines; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	223.989	88	1.463	852608706248729334	852601230715126799	852601230710932494	1123	
2	C3H2F3N3O4	[M + Na]+	C3H2F3N3NaO4+	Alkaloids	0.765	Pseudoalkaloids (transamidation)	0.147	Purine alkaloids	0.142	Organic 1,3-dipolar compounds	0.926	Allyl-type 1,3-dipolar organic compounds	0.920	Organic nitro compounds	0.933	C-nitro compounds	0.903	Fluorodinitromethyl compounds	0.805	Organic compounds; Organoheterocyclic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Organic nitro compounds; Organic oxoazanium compounds; Organofluorides; Alkyl halides; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; C-nitro compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Fluorodinitromethyl compounds; Nitroaromatic compounds; Organic nitrogen compounds; Chemical entities	223.989	88	1.463	852608706248729335	852601230715126799	852601230710932494	1123	
3	C4H9MgNO4S2	[M + H]+	C4H10MgNO4S2+	Amino acids and Peptides	0.997	Small peptides	0.994	Aminoacids	0.997	Organic acids and derivatives	0.997	Carboxylic acids and derivatives	0.976	Amino acids, peptides, and analogues	0.917	Amino acids and derivatives	0.916	Alpha amino acids	0.771	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	223.989	88	1.463	852608706248729336	852601230715126799	852601230710932494	1123	
4	C4H11MgNO5S2	[M - H2O + H]+	C4H10MgNO4S2+	Amino acids and Peptides	0.997	Small peptides	0.996	Aminoacids	0.997	Organic acids and derivatives	0.996	Carboxylic acids and derivatives	0.939	Amino acids, peptides, and analogues	0.916	Amino acids and derivatives	0.915	L-alpha-amino acids	0.516	Organic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic oxides; L-alpha-amino acids; Hydrocarbon derivatives; Amino acids; Cysteine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	223.989	88	1.463	852608706248729337	852601230715126799	852601230710932494	1123	
5	C2H6MgO4S2	[M + C2H3N + H]+	C4H10MgNO4S2+	Fatty acids	0.546	Fatty acyls	0.252	Halogenated fatty acids	0.083	Organic acids and derivatives	0.947	Organic sulfonic acids and derivatives	0.921	Organosulfonic acids and derivatives	0.920	Organosulfonic anhydrides	0.631	Organosulfonic anhydrides	0.631	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Sulfonyls; Organic oxides; Organosulfonic anhydrides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities	223.989	88	1.463	852608706248729338	852601230715126799	852601230710932494	1123	
1	C3N2O6	[M + K]+	C3KN2O6+	Alkaloids	0.806	Nicotinic acid alkaloids	0.289	Pyridine alkaloids	0.291	Organic acids and derivatives	0.615	Carboxylic acids and derivatives	0.554					Carboxylic acids and derivatives	0.554	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic 1,3-dipolar compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	198.940	88	1.467	852608707150504750	852601230819984414	852601230815790109	1126	
1	C9HF3N2O2S2	[M - H]-	C9F3N2O2S2-	Alkaloids	0.227	Nicotinic acid alkaloids	0.008	Melithiazole and Myxothiazole derivatives	0.009	Organohalogen compounds	0.999	Aryl halides	0.761	Aryl fluorides	0.816			Aryl fluorides	0.816	Organic compounds; Organoheterocyclic compounds; Thiazoles; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Azoles; Alkyl fluorides; Aryl fluorides; Organofluorides; Aryl halides; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	288.935	88	1.471	852608698636066457	852601184292564547	852601184288370242	7	
1	C4HClN2O4	[M - H]-	C4ClN2O4-	Alkaloids	0.496	Peptide alkaloids	0.619	Pyrazine and Piperazine alkaloids	0.191	Organohalogen compounds	0.985	Aryl halides	0.861	Aryl chlorides	0.823			Aryl chlorides	0.823	Organic compounds; Organoheterocyclic compounds; Ketones; Lactams; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Diazines; Organochlorides; Carbonyl compounds; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	174.955	88	1.472	852608698497654367	852601184699412065	852601184699412064	13	
1	C5H8O9P2	[M - H]-	C5H7O9P2-	Carbohydrates	0.864	Saccharides	0.574	Monosaccharides	0.611	Organic acids and derivatives	0.997	Organic phosphoric acids and derivatives	0.997	Phosphate esters	0.987	Alkyl phosphates	0.571	Alkyl phosphates	0.571	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Carbonyl compounds; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	272.958	88	1.475	852608696048180079	852601184426782285	852601184422587980	9	
2	C4H6O7P2	[M + CH2O2 - H]-	C5H7O9P2-	Carbohydrates	0.472	Fatty Acids and Conjugates	0.140	Monosaccharides	0.141	Organic acids and derivatives	0.997	Organic phosphoric acids and derivatives	0.997	Phosphate esters	0.989	Alkyl phosphates	0.558	Alkyl phosphates	0.558	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Carbonyl compounds; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	272.958	88	1.475	852608696048180080	852601184426782285	852601184422587980	9	
3	C9HF3N2O3S	[M - H]-	C9F3N2O3S-	Alkaloids	0.336	Nicotinic acid alkaloids	0.009	Pyridine alkaloids	0.009	Organohalogen compounds	0.999	Aryl halides	0.677	Aryl fluorides	0.782			Aryl fluorides	0.782	Organic compounds; Organoheterocyclic compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Aryl fluorides; Sulfonyls; Organofluorides; Aryl halides; Alkyl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	272.958	88	1.475	852608696048180081	852601184426782285	852601184422587980	9	
1	C7H2F5NO3S	[M - H]-	C7HF5NO3S-	Fatty acids	0.181	Fatty acyls	0.020	Halogenated fatty acids	0.166	Organosulfur compounds	0.704	Sulfonyls	0.570					Sulfonyls	0.570	Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Sulfonyls; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	273.959	89	1.475	852608695502920352	852601184502279762	852601184498085457	10	
1	C5H6O2P2	[M - H]-	C5H5O2P2-	Fatty acids	0.557	Monoterpenoids	0.354	Oxygenated hydrocarbons	0.527	Organoheterocyclic compounds	0.682	Metalloheterocyclic compounds	0.530					Metalloheterocyclic compounds	0.530	Organic compounds; Organoheterocyclic compounds; Organooxygen compounds; Organophosphorus compounds; Metalloheterocyclic compounds; Phosphacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	158.978	89	1.478	852608691182785695	852601184632303196	852601184628108891	12	
2	C5H8O3P2	[M - H2O - H]-	C5H5O2P2-	Fatty acids	0.414	Fatty Acids and Conjugates	0.479	Aminoacids	0.042	Organic acids and derivatives	0.944	Carboxylic acids and derivatives	0.890	Carboxylic acids	0.877			Carboxylic acids	0.877	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	158.978	89	1.478	852608691182785696	852601184632303196	852601184628108891	12	
4	CH2MgN3O5	[M - H]-	CHMgN3O5-	Alkaloids	0.243	Histidine alkaloids	0.053	Imidazole alkaloids	0.052	Organoheterocyclic compounds	0.786	Heteroaromatic compounds	0.521					Heteroaromatic compounds	0.521	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organoarsenic compounds; Organometallic compounds; Organic nitro compounds; Organometalloid compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Oxygen-containing organoarsenic compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.978	89	1.478	852608691182785698	852601184632303196	852601184628108891	12	
5	CH4MgN3O6	[M - H2O - H]-	CHMgN3O5-	Fatty acids	0.021	Fatty Acids and Conjugates	0.050	Aminoacids	0.079	Organometallic compounds	0.977	Organometalloid compounds	0.977	Organoarsenic compounds	0.977	Pentavalent organic arsenic compounds	0.544	Pentaorganoarsanes	0.544	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organoarsenic compounds; Organometallic compounds; Organic nitro compounds; Carboxylic acids; Organometalloid compounds; Organic oxoazanium compounds; Carbonyl compounds; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Pentavalent organic arsenic compounds; C-nitro compounds; Hydrocarbon derivatives; Pentaorganoarsanes; Oxygen-containing organoarsenic compounds; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	158.978	89	1.478	852608691182785699	852601184632303196	852601184628108891	12	
1	C6H12NO8	[M + Na]+	C6H12NNaO8+	Amino acids and Peptides	0.888	Small peptides	0.844	Aminoacids	0.852	Organic acids and derivatives	0.990	Carboxylic acids and derivatives	0.991	Amino acids, peptides, and analogues	0.963	Amino acids and derivatives	0.962	Alpha amino acids	0.822	Organic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Hydroxy acids and derivatives; Carboxylic acids; Monosaccharides; Secondary alcohols; Carbonyl compounds; Polyols; Alpha amino acids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	249.046	90	1.494	852608707972588612	852601230861927459	852601230861927458	1127	
1	C7H14O8	[M - H]-	C7H13O8-	Carbohydrates	0.964	Saccharides	0.981	Monosaccharides	0.955	Organic acids and derivatives	0.948	Hydroxy acids and derivatives	0.795	Medium-chain hydroxy acids and derivatives	0.804			Medium-chain hydroxy acids and derivatives	0.804	Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Sugar acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Alpha hydroxy acids and derivatives; Monosaccharides; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Polyols; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	225.061	92	1.537	852608693812615254	852601184766520934	852601184762326629	14	
2	C6H12O6	[M + CH2O2 - H]-	C7H13O8-	Carbohydrates	1.000	Saccharides	1.000	Monosaccharides	0.954	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.993	Monosaccharides	0.978	Hexoses	0.544	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Hemiacetals; Hexoses; Monosaccharides; Secondary alcohols; Oxanes; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	225.061	92	1.537	852608693812615255	852601184766520934	852601184762326629	14	
